13470253144	720	720	1440
13509468723	442116	30060	472176
13560439638	461868	33732	495600
13568436656	564408	48120	612528
13590439668	568224	52584	620808
13630577991	570984	80424	651408
13682846555	582624	88176	670800
13729199489	582624	89136	671760
13736230513	681348	99060	780408
13768778790	681828	99540	781368
13846544121	681828	100596	782424
13956435636	687876	101124	789000
13966251146	687876	102084	789960
13975057813	880848	146316	1027164
13992314666	895728	158348	1054076
15043685818	909880	172984	1082864
15910133277	921624	185608	1107232
15959002129	922344	193360	1115704
18271575951	930768	199468	1130236
18390173782	940416	237592	1178008
84188413	946144	254056	1200200
